epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0,0.7415001392364502,,
0,99,1.0,0.5791947245597839,,
0,149,1.0,0.5917665362358093,,
0,199,0.0,0.7993189096450806,,
0,249,1.0,0.5188769698143005,,
0,299,0.0,0.9518309831619263,,
0,349,1.0,0.590914785861969,,
0,399,1.0,0.46018198132514954,,
0,449,1.0,0.4594857394695282,,
0,499,0.0,0.7382907867431641,,
0,549,1.0,0.39099735021591187,,
0,568,,,0.5734265446662903,0.6362050175666809
1,599,0.0,1.079988718032837,,
1,649,0.0,0.7536677122116089,,
1,699,1.0,0.5468513369560242,,
1,749,0.0,0.79409259557724,,
1,799,1.0,0.4405043423175812,,
1,849,0.0,0.7930916547775269,,
1,899,1.0,0.4084506630897522,,
1,949,1.0,0.6003602743148804,,
1,999,1.0,0.631514847278595,,
1,1049,1.0,0.3851235806941986,,
1,1099,1.0,0.6259199976921082,,
1,1137,,,0.7132866978645325,0.5956774353981018
2,1149,1.0,0.5976893305778503,,
2,1199,1.0,0.38818129897117615,,
2,1249,1.0,0.3498842716217041,,
2,1299,1.0,0.36594995856285095,,
2,1349,1.0,0.46242600679397583,,
2,1399,1.0,0.3882812261581421,,
2,1449,1.0,0.3791276514530182,,
2,1499,1.0,0.4623928964138031,,
2,1549,1.0,0.46510550379753113,,
2,1599,0.0,0.9273555278778076,,
2,1649,1.0,0.37698546051979065,,
2,1699,1.0,0.6189139485359192,,
2,1706,,,0.7552447319030762,0.5601956248283386
3,1749,1.0,0.4046790599822998,,
3,1799,1.0,0.5107904076576233,,
3,1849,0.0,0.7937072515487671,,
3,1899,1.0,0.36864373087882996,,
3,1949,1.0,0.4674641788005829,,
3,1999,1.0,0.3562881052494049,,
3,2049,1.0,0.46858441829681396,,
3,2099,1.0,0.37837350368499756,,
3,2149,0.0,0.7741422653198242,,
3,2199,1.0,0.3340047001838684,,
3,2249,1.0,0.35280030965805054,,
3,2275,,,0.7832167744636536,0.5449093580245972
4,2299,1.0,0.4238280653953552,,
4,2349,1.0,0.4446033239364624,,
4,2399,1.0,0.41939014196395874,,
4,2449,1.0,0.3272477090358734,,
4,2499,0.0,1.2287365198135376,,
4,2549,1.0,0.3423081636428833,,
4,2599,1.0,0.417492538690567,,
4,2649,1.0,0.3536626994609833,,
4,2699,1.0,0.36552003026008606,,
4,2749,1.0,0.5032296180725098,,
4,2799,1.0,0.33008068799972534,,
4,2844,,,0.7762237787246704,0.5387789011001587
5,2849,1.0,0.32421576976776123,,
5,2899,1.0,0.33310800790786743,,
5,2949,1.0,0.3197433054447174,,
5,2999,0.0,0.7314306497573853,,
5,3049,1.0,0.3589404821395874,,
5,3099,1.0,0.3258102238178253,,
5,3149,0.0,0.9302328824996948,,
5,3199,1.0,0.35141807794570923,,
5,3249,1.0,0.536793053150177,,
5,3299,0.0,1.0464601516723633,,
5,3349,1.0,0.6232633590698242,,
5,3399,1.0,0.5949701070785522,,
5,3413,,,0.7762237787246704,0.5354384779930115
6,3449,1.0,0.31903815269470215,,
6,3499,1.0,0.3178730309009552,,
6,3549,0.0,1.1128318309783936,,
6,3599,1.0,0.3189149498939514,,
6,3649,1.0,0.328878790140152,,
6,3699,0.0,0.9808698892593384,,
6,3749,1.0,0.35153675079345703,,
6,3799,1.0,0.4230251610279083,,
6,3849,1.0,0.38582319021224976,,
6,3899,1.0,0.31984269618988037,,
6,3949,1.0,0.3186967968940735,,
6,3982,,,0.7762237787246704,0.5330783724784851
7,3999,1.0,0.6819502115249634,,
7,4049,0.0,1.3037704229354858,,
7,4099,1.0,0.49817007780075073,,
7,4149,1.0,0.31728002429008484,,
7,4199,1.0,0.3746742308139801,,
7,4249,1.0,0.45718106627464294,,
7,4299,1.0,0.5105822682380676,,
7,4349,1.0,0.3190594017505646,,
7,4399,1.0,0.34101271629333496,,
7,4449,1.0,0.32387080788612366,,
